"","title","date","author","year","day","month","month.num","date.comb","date.format"
"80","R / Finance 2014 Open for Registration","March 29, 2014","Thinking inside the box",2014,29,"March",3,"2014-3-29",2014-03-29
"81","Introduction to PortfolioAnalytics","March 29, 2014","Ross",2014,29,"March",3,"2014-3-29",2014-03-29
"82","R/Finance 2014 Registration Open","March 29, 2014","Joshua Ulrich",2014,29,"March",3,"2014-3-29",2014-03-29
"83","Theil’s Blus Residuals and R Tools for Testing and Removing Autocorrelation and Heteroscedasticity","March 28, 2014","Tal Galili",2014,28,"March",3,"2014-3-28",2014-03-28
"84","Alternatives to model diagnostics for statistical inference?","March 28, 2014","BioStatMatt",2014,28,"March",3,"2014-3-28",2014-03-28
"85","R Training for SAS users in Singapore and online","March 28, 2014","David Smith",2014,28,"March",3,"2014-3-28",2014-03-28
"86","Slopegraphs | rCharts –> maybe finance versions","March 28, 2014","klr",2014,28,"March",3,"2014-3-28",2014-03-28
"87","Circular Migration Flow Plots in R","March 28, 2014","gjabel",2014,28,"March",3,"2014-3-28",2014-03-28
"88","A Simple Introduction to the Graphing Philosophy of ggplot2","March 28, 2014","Thomas Hopper",2014,28,"March",3,"2014-3-28",2014-03-28
"89","Upcoming Rcpp talks and workshops","March 27, 2014","Thinking inside the box",2014,27,"March",3,"2014-3-27",2014-03-27
"90","Why use R? Five reasons.","March 27, 2014","Francis Smart",2014,27,"March",3,"2014-3-27",2014-03-27
"91","Bayesian Data Analysis [BDA3]","March 27, 2014","xi'an",2014,27,"March",3,"2014-3-27",2014-03-27
"92","Analysis of experiments using ASReml-R, Chicago, 24/25th April","March 27, 2014","Tal Galili",2014,27,"March",3,"2014-3-27",2014-03-27
"93","Data Preparation – Part II","March 27, 2014","Flavio Barros",2014,27,"March",3,"2014-3-27",2014-03-27
"94","More fun with %.% and %>%","March 27, 2014","mrtnj",2014,27,"March",3,"2014-3-27",2014-03-27
"95","Blurry Fractals","March 27, 2014","aschinchon",2014,27,"March",3,"2014-3-27",2014-03-27
"96","Visualizing principal components with R and Sochi Olympic Athletes","March 27, 2014","Andrew Z",2014,27,"March",3,"2014-3-27",2014-03-27
"97","Alluvial diagrams","March 27, 2014","Michal",2014,27,"March",3,"2014-3-27",2014-03-27
"98","New Shiny website launched; Shiny 0.9 released","March 27, 2014","Joe Cheng",2014,27,"March",3,"2014-3-27",2014-03-27
"99","R User Group Activity for Q1 2014","March 27, 2014","Joseph Rickert",2014,27,"March",3,"2014-3-27",2014-03-27
"100","GIS in R: Part 1","March 27, 2014","Patrick",2014,27,"March",3,"2014-3-27",2014-03-27
"101","Filtering Data with L1 Regularisation","March 27, 2014","andrew",2014,27,"March",3,"2014-3-27",2014-03-27
"102","sjPlot 1.3 available #rstats #sjPlot","March 27, 2014","Daniel",2014,27,"March",3,"2014-3-27",2014-03-27
"103","Evolution of Code","March 27, 2014","Educate-R - R",2014,27,"March",3,"2014-3-27",2014-03-27
"104","Seasonal Unit Roots","March 26, 2014","arthur charpentier",2014,26,"March",3,"2014-3-26",2014-03-26
"105","Visualising Pandas DataFrames With IPythonBlocks – Proof of Concept","March 26, 2014","Tony Hirst",2014,26,"March",3,"2014-3-26",2014-03-26
"106","Give your R charts that Wes Anderson style","March 26, 2014","David Smith",2014,26,"March",3,"2014-3-26",2014-03-26
"107","Using R: quickly calculating summary statistics (with dplyr)","March 26, 2014","mrtnj",2014,26,"March",3,"2014-3-26",2014-03-26
"108","MCMC for Econometrics Students – Part IV","March 26, 2014","Dave Giles",2014,26,"March",3,"2014-3-26",2014-03-26
"109","How to open an SPSS file into R","March 26, 2014","Davide Massidda",2014,26,"March",3,"2014-3-26",2014-03-26
"110","Accessing iNaturalist data","March 26, 2014","rOpenSci Blog - R",2014,26,"March",3,"2014-3-26",2014-03-26
"111","RProtoBuf 0.4.1","March 25, 2014","Thinking inside the box",2014,25,"March",3,"2014-3-25",2014-03-25
"112","R 101: Summarizing Data","March 25, 2014","atmathew",2014,25,"March",3,"2014-3-25",2014-03-25
"113","Practical Data Science with R: Release date announced","March 25, 2014","Nina Zumel",2014,25,"March",3,"2014-3-25",2014-03-25
"114","Read more »","March 25, 2014","mrtnj",2014,25,"March",3,"2014-3-25",2014-03-25
"115","Using R: quickly calculating summary statistics from a data frame","March 25, 2014","Joseph Rickert",2014,25,"March",3,"2014-3-25",2014-03-25
"116","A Thumbnail History of Ensemble Methods","March 25, 2014","klr",2014,25,"March",3,"2014-3-25",2014-03-25
"117","Filtering Data with L2 Regularisation","March 25, 2014","andrew",2014,25,"March",3,"2014-3-25",2014-03-25
"118","Wright Map Tutorial – Part 3","March 25, 2014","R Snippets for IRT",2014,25,"March",3,"2014-3-25",2014-03-25
"119","Sankey diagrams with googleVis","March 25, 2014","Markus Gesmann",2014,25,"March",3,"2014-3-25",2014-03-25
"120","Which states are the most concerned by gun crime?","March 24, 2014","tlfvincent",2014,24,"March",3,"2014-3-24",2014-03-24
"121","WrightMap Tutorial – Part 2","March 24, 2014","R Snippets for IRT",2014,24,"March",3,"2014-3-24",2014-03-24
"122","Free eBook on Big Data and Data Science","March 24, 2014","David Smith",2014,24,"March",3,"2014-3-24",2014-03-24
"123","Hack, a template for improving code reliability","March 24, 2014","Derek Jones",2014,24,"March",3,"2014-3-24",2014-03-24
"124","Image CGI with R","March 24, 2014","BioStatMatt",2014,24,"March",3,"2014-3-24",2014-03-24
"125","R jobs (March 24th)","March 24, 2014","Tal Galili",2014,24,"March",3,"2014-3-24",2014-03-24
"126","Experimenting With R – Point to Point Mapping With Great Circles","March 24, 2014","Tony Hirst",2014,24,"March",3,"2014-3-24",2014-03-24
"127","Estimating Variance as a Function of Treatment Rank Class","March 24, 2014","Francis Smart",2014,24,"March",3,"2014-3-24",2014-03-24
"128","Reminder: Abstract submission for the 2014 ‘R in Insurance’ conference will close this Friday","March 24, 2014","Markus Gesmann",2014,24,"March",3,"2014-3-24",2014-03-24
"129","MCMC on zero measure sets","March 23, 2014","xi'an",2014,23,"March",3,"2014-3-23",2014-03-23
"130","Easily Assign Attributes for Your Metrics in R","March 23, 2014","Prateek Maitra",2014,23,"March",3,"2014-3-23",2014-03-23
"131","Warning: Clusters May Appear More Separated in Textbooks than in Practice","March 23, 2014","Joel Cadwell",2014,23,"March",3,"2014-3-23",2014-03-23
"132","Random Love","March 23, 2014","aschinchon",2014,23,"March",3,"2014-3-23",2014-03-23
"133","Going viral with R’s igraph package","March 23, 2014","Ryan Walker",2014,23,"March",3,"2014-3-23",2014-03-23
"134","ThinkToStartR package","March 23, 2014","julianhi",2014,23,"March",3,"2014-3-23",2014-03-23
"135","Create Twitter Wordcloud with Sentiments","March 23, 2014","julianhi",2014,23,"March",3,"2014-3-23",2014-03-23
"136","Accessing global weather model data using the rNOMADS package in R","March 23, 2014","glossarch",2014,23,"March",3,"2014-3-23",2014-03-23
"137","Plotting forward curves with R","March 23, 2014","édouard",2014,23,"March",3,"2014-3-23",2014-03-23
"138","Data Transfer Advice From Francis Smart","March 23, 2014","Dave Giles",2014,23,"March",3,"2014-3-23",2014-03-23
"139","Distribution Kinetics in JAGS","March 23, 2014","Wingfeet",2014,23,"March",3,"2014-3-23",2014-03-23
"140","Seamless analytical environment by WDI, dplyr, and rMaps","March 22, 2014","teramonagi",2014,22,"March",3,"2014-3-22",2014-03-22
"141","Stochastic search variable selection in JAGS","March 22, 2014","Maxwell B. Joseph",2014,22,"March",3,"2014-3-22",2014-03-22
"142","Sun and moon paths in daily sky","March 22, 2014","Dan Kelley Blog/R",2014,22,"March",3,"2014-3-22",2014-03-22
"143","Le Monde puzzle [#857]","March 21, 2014","xi'an",2014,21,"March",3,"2014-3-21",2014-03-21
"144","Learn about handling character data in R with this free e-book","March 21, 2014","David Smith",2014,21,"March",3,"2014-3-21",2014-03-21
"145","httr 0.3","March 21, 2014","hadleywickham",2014,21,"March",3,"2014-3-21",2014-03-21
"146","Updates on Interactive rCrimemap, rBlocks … and the Packt offer!","March 21, 2014","Jo-fai Chow",2014,21,"March",3,"2014-3-21",2014-03-21
"147","Normality and Testing for Normality","March 21, 2014","Thomas Hopper",2014,21,"March",3,"2014-3-21",2014-03-21
"148","Recreational Data","March 21, 2014","Tony Hirst",2014,21,"March",3,"2014-3-21",2014-03-21
"149","R: Text Mining on Twitter #PrayForMH370 Malaysia Airlines","March 21, 2014","Al-Ahmadgaid Asaad",2014,21,"March",3,"2014-3-21",2014-03-21
"150","Aggregating spatial points by clusters","March 21, 2014","Robin Lovelace - R",2014,21,"March",3,"2014-3-21",2014-03-21
"151","Frequentist German Tank Problem","March 20, 2014","Jacob Simmering",2014,20,"March",3,"2014-3-20",2014-03-20
"152","Pre-processing for approximate Bayesian computation in image analysis","March 20, 2014","xi'an",2014,20,"March",3,"2014-3-20",2014-03-20
"153","It is time for RData files to become the standard for Data Transfer","March 20, 2014","Francis Smart",2014,20,"March",3,"2014-3-20",2014-03-20
"154","Help Me Understand bfast breakpoints","March 20, 2014","klr",2014,20,"March",3,"2014-3-20",2014-03-20
"155","Visualize coverage for targeted NGS (exome) experiments","March 20, 2014","Stephen Turner",2014,20,"March",3,"2014-3-20",2014-03-20
"156","Data Sets for Data Science","March 20, 2014","Joseph Rickert",2014,20,"March",3,"2014-3-20",2014-03-20
"157","Seasonal, or periodic, time series","March 20, 2014","arthur charpentier",2014,20,"March",3,"2014-3-20",2014-03-20
"158","Why multiple imputation?","March 20, 2014","Michael kao",2014,20,"March",3,"2014-3-20",2014-03-20
"159","Albany, NY R Users Group","March 20, 2014","Jason Bryer",2014,20,"March",3,"2014-3-20",2014-03-20
"160","MCMC for Econometrics Students – III","March 19, 2014","Dave Giles",2014,19,"March",3,"2014-3-19",2014-03-19
"161","Stop using bivariate correlations for variable selection","March 19, 2014","Jacob Simmering",2014,19,"March",3,"2014-3-19",2014-03-19
"162","fine-sliced Poisson [a.k.a. sashimi]","March 19, 2014","xi'an",2014,19,"March",3,"2014-3-19",2014-03-19
"163","The #rBlocks Experiments","March 19, 2014","Jo-fai Chow",2014,19,"March",3,"2014-3-19",2014-03-19
"164","Using R: barplot with ggplot2","March 19, 2014","mrtnj",2014,19,"March",3,"2014-3-19",2014-03-19
"165","Data-driven March Madness (there’s an app for that)","March 19, 2014","David Smith",2014,19,"March",3,"2014-3-19",2014-03-19
"166","Deadline for R student projects for Google Summer of Code is March 21","March 19, 2014","David Smith",2014,19,"March",3,"2014-3-19",2014-03-19
"167","Shiny-server Open Source Edition: Solution for CPU Bound Apps","March 19, 2014","Huidong Tian",2014,19,"March",3,"2014-3-19",2014-03-19
"168","MCMC for Econometrics Students – II","March 18, 2014","Dave Giles",2014,18,"March",3,"2014-3-18",2014-03-18
"169","Dynamic arrays in R, Python and Julia","March 18, 2014","tlfvincent",2014,18,"March",3,"2014-3-18",2014-03-18
"170","Guardian data blog — UK general election analysis in R","March 18, 2014","benjaminlmoore",2014,18,"March",3,"2014-3-18",2014-03-18
"171","Secrets of Teaching R","March 18, 2014","Joseph Rickert",2014,18,"March",3,"2014-3-18",2014-03-18
"172","By now I ought to feel more knowledgeable about R","March 18, 2014","Derek Jones",2014,18,"March",3,"2014-3-18",2014-03-18
"173","F# interfacing with R using SmithWilsonYieldCurve","March 18, 2014","Phil Joubert",2014,18,"March",3,"2014-3-18",2014-03-18
"174","Learn to Manage Data at useR! 2014 or Online April 25","March 18, 2014","Bob Muenchen",2014,18,"March",3,"2014-3-18",2014-03-18
"175","How popular is the President of Mexico on Twitter?","March 18, 2014","Jose",2014,18,"March",3,"2014-3-18",2014-03-18
"176","Timeline charts with googleVis","March 18, 2014","Markus Gesmann",2014,18,"March",3,"2014-3-18",2014-03-18
"177","Cover of my forecasting textbook","March 18, 2014","Rob J Hyndman",2014,18,"March",3,"2014-3-18",2014-03-18
"178","analyze the national household travel survey (nhts) with r and monetdb","March 18, 2014","Anthony Damico",2014,18,"March",3,"2014-3-18",2014-03-18
"179","MoneyPuck – Best subsets regression of NHL teams","March 17, 2014","Cory Lesmeister",2014,17,"March",3,"2014-3-17",2014-03-17
"180","sliced Poisson","March 17, 2014","xi'an",2014,17,"March",3,"2014-3-17",2014-03-17
"181","Download all Documents from Google Drive with R","March 17, 2014","Kay Cichini",2014,17,"March",3,"2014-3-17",2014-03-17
"182","GSoC Proposal 2014: package bdvis: Biodiversity Data Visualizations","March 17, 2014","vijaybarve",2014,17,"March",3,"2014-3-17",2014-03-17
"183","Bayesian First Aid: Pearson Correlation Test","March 17, 2014","Rasmus Bååth",2014,17,"March",3,"2014-3-17",2014-03-17
"184","Use Data Science to help CARE International in Atlanta, March 28","March 17, 2014","David Smith",2014,17,"March",3,"2014-3-17",2014-03-17
"185","The Stack Overflow R Top 5","March 17, 2014","DataCamp",2014,17,"March",3,"2014-3-17",2014-03-17
"186","Fast computation of cross-validation in linear models","March 17, 2014","Rob J Hyndman",2014,17,"March",3,"2014-3-17",2014-03-17
"187","Zurich, June 2014, 21 – Training: Approaching the Performance Limits of R","March 17, 2014","wuertz",2014,17,"March",3,"2014-3-17",2014-03-17
"188","Zurich, Jun 2014, 20 – Training: How to get the Most out of RStudio and Shiny","March 17, 2014","wuertz",2014,17,"March",3,"2014-3-17",2014-03-17
"189","Species occurrence data","March 17, 2014","rOpenSci Blog - R",2014,17,"March",3,"2014-3-17",2014-03-17
"190","Getting ready for OpenCPU 1.3","March 17, 2014","Jeroen Ooms",2014,17,"March",3,"2014-3-17",2014-03-17
"191","Approximate Bayesian model choice","March 16, 2014","xi'an",2014,16,"March",3,"2014-3-16",2014-03-16
"192","Above Average: Analyzing Self-Rated Qualities in R","March 16, 2014","atmathew",2014,16,"March",3,"2014-3-16",2014-03-16
"193","Analysis of the Time Aspect of the Matches at The International 3 (Dota 2 Tournament)","March 16, 2014","S.S. Rebelious",2014,16,"March",3,"2014-3-16",2014-03-16
"194","BurStFin R package version 1.02 released","March 16, 2014","Pat",2014,16,"March",3,"2014-3-16",2014-03-16
"195","dplyr 0.1.3","March 16, 2014","hadleywickham",2014,16,"March",3,"2014-3-16",2014-03-16
"196","PK calculations for infusion at constant rate","March 16, 2014","Wingfeet",2014,16,"March",3,"2014-3-16",2014-03-16
"197","Box models in R","March 16, 2014","Dan Kelley Blog/R",2014,16,"March",3,"2014-3-16",2014-03-16
"198","Condorcet ranking and Rcpp – Part 1b","March 15, 2014","Avraham Adler",2014,15,"March",3,"2014-3-15",2014-03-15
"199","Moving the North Pole to the Equator","March 15, 2014","arthur charpentier",2014,15,"March",3,"2014-3-15",2014-03-15
"200","Guardian Words: Visualized","March 15, 2014","hrbrmstr",2014,15,"March",3,"2014-3-15",2014-03-15
"201","qdap 1.3.1 Release: Demoing Dispersion Plots, Sentiment Analysis, Easy Hash Lookups, Boolean Searches and More…","March 14, 2014","tylerrinker",2014,14,"March",3,"2014-3-14",2014-03-14
"202","How Statistics lifts the fog of war in Syria","March 14, 2014","David Smith",2014,14,"March",3,"2014-3-14",2014-03-14
"203","MOOCs and courses to learn R","March 14, 2014","Flavio Barros",2014,14,"March",3,"2014-3-14",2014-03-14
"204","c2d4u and RRutter Ubuntu PPA Updates","March 14, 2014","The Ubuntu R Blog",2014,14,"March",3,"2014-3-14",2014-03-14
"205","Bond Shop Views with dimplejs and rCharts","March 14, 2014","klr",2014,14,"March",3,"2014-3-14",2014-03-14
"206","How to use Bioconductor to find empirical evidence in support of p being a normal number","March 14, 2014","Rafael Irizarry",2014,14,"March",3,"2014-3-14",2014-03-14
"207","Using Genetic Algorithms in Quantitative Trading","March 14, 2014","The R Trader",2014,14,"March",3,"2014-3-14",2014-03-14
"208","Rcpp 0.11.1","March 14, 2014","Thinking inside the box",2014,14,"March",3,"2014-3-14",2014-03-14
"209","Aggregation of point data to polygons MKII – US states","March 14, 2014","Robin Lovelace - R",2014,14,"March",3,"2014-3-14",2014-03-14
"210","Update to highlightHTML package","March 14, 2014","Educate-R - R",2014,14,"March",3,"2014-3-14",2014-03-14
"211","Bayesian Search Models","March 13, 2014","Jacob Simmering",2014,13,"March",3,"2014-3-13",2014-03-13
"212","R Resources","March 13, 2014","enayet",2014,13,"March",3,"2014-3-13",2014-03-13
"213","Text Mining Gun Deaths Data","March 13, 2014","Francis Smart",2014,13,"March",3,"2014-3-13",2014-03-13
"214","The Lonely Acacia Is Rocked By The Wind Of The African Night","March 13, 2014","aschinchon",2014,13,"March",3,"2014-3-13",2014-03-13
"215","An R ""meta"" book","March 13, 2014","Joseph Rickert",2014,13,"March",3,"2014-3-13",2014-03-13
"216","Better handling of JSON data in R?","March 13, 2014","Rolf Fredheim",2014,13,"March",3,"2014-3-13",2014-03-13
"217","Morning coffee: scripting language","March 13, 2014","mrtnj",2014,13,"March",3,"2014-3-13",2014-03-13
"218","rnoaa – Access to NOAA National Climatic Data Center data","March 13, 2014","rOpenSci Blog - R",2014,13,"March",3,"2014-3-13",2014-03-13
"219","Condorcet ranking and Rcpp","March 13, 2014","Avraham Adler",2014,13,"March",3,"2014-3-13",2014-03-13
"220","Must See R blog","March 12, 2014","klr",2014,12,"March",3,"2014-3-12",2014-03-12
"221","Submit a talk to the R user conference in LA!","March 12, 2014","David Smith",2014,12,"March",3,"2014-3-12",2014-03-12
"222","Testing for trend in ARIMA models","March 12, 2014","Rob J Hyndman",2014,12,"March",3,"2014-3-12",2014-03-12
"223","ENAR 2014 Searcher #ENAR2014","March 12, 2014","strictlystat",2014,12,"March",3,"2014-3-12",2014-03-12
"224","Slidify my R journey from @matlabulous to rCrimemap","March 12, 2014","Jo-fai Chow",2014,12,"March",3,"2014-3-12",2014-03-12
"225","Software Carpentry at UVA, Redux","March 12, 2014","Stephen Turner",2014,12,"March",3,"2014-3-12",2014-03-12
"226","Generalized Linear Mixed Models in Ecology and in R","March 12, 2014","grumble10",2014,12,"March",3,"2014-3-12",2014-03-12
"227","In case you missed it: February 2014 roundup","March 12, 2014","David Smith",2014,12,"March",3,"2014-3-12",2014-03-12
"228","Unit root tests and ARIMA models","March 12, 2014","Rob J Hyndman",2014,12,"March",3,"2014-3-12",2014-03-12
"229","R AND OOP – defining new classes","March 12, 2014","Michele Usuelli",2014,12,"March",3,"2014-3-12",2014-03-12
"230","Web Scraping: working with APIs","March 12, 2014","Rolf Fredheim",2014,12,"March",3,"2014-3-12",2014-03-12
